unicode,emoji,name,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
1F308,🌈,rainbow,0.0,0.28,0.0,0.0,0.69,0.06,0.22,0.33
1F319,🌙,crescent moon,0.0,0.31,0.0,0.0,0.25,0.0,0.06,0.25
1F31A,🌚,new moon face,0.06,0.08,0.17,0.06,0.42,0.19,0.06,0.11
1F31E,🌞,sun with face,0.0,0.22,0.0,0.0,0.78,0.0,0.11,0.22
1F31F,🌟,glowing star,0.0,0.28,0.0,0.0,0.53,0.0,0.25,0.31
1F337,🌷,tulip,0.0,0.31,0.0,0.0,0.44,0.0,0.0,0.22
1F338,🌸,cherry blossom,0.0,0.22,0.0,0.0,0.56,0.0,0.14,0.25
1F339,🌹,rose,0.0,0.36,0.0,0.0,0.56,0.0,0.11,0.72
1F33A,🌺,hibiscus,0.0,0.11,0.0,0.0,0.39,0.0,0.06,0.19
1F340,🍀,four leaf clover,0.0,0.39,0.0,0.0,0.47,0.0,0.22,0.44
1F343,🍃,leaf fluttering in wind,0.0,0.31,0.0,0.0,0.11,0.17,0.03,0.06
1F355,🍕,pizza,0.06,0.39,0.06,0.06,0.47,0.06,0.17,0.17
1F37B,🍻,clinking beer mugs,0.0,0.44,0.0,0.0,0.72,0.0,0.25,0.53
1F380,🎀,ribbon,0.0,0.42,0.0,0.0,0.44,0.0,0.36,0.22
1F388,🎈,balloon,0.06,0.25,0.06,0.06,0.47,0.06,0.31,0.22
1F389,🎉,party popper,0.0,0.33,0.0,0.0,0.92,0.0,0.5,0.33
1F3A4,🎤,microphone,0.0,0.39,0.0,0.06,0.39,0.08,0.08,0.25
1F3A5,🎥,movie camera,0.0,0.28,0.0,0.0,0.19,0.0,0.17,0.17
1F3A7,🎧,headphone,0.0,0.08,0.0,0.0,0.44,0.0,0.0,0.03
1F3B5,🎵,musical note,0.0,0.25,0.0,0.0,0.47,0.08,0.08,0.17
1F3B6,🎶,musical notes,0.0,0.22,0.0,0.0,0.47,0.0,0.22,0.14
1F440,👀,eyes,0.14,0.81,0.17,0.42,0.0,0.17,0.64,0.06
1F445,👅,tongue,0.0,0.17,0.0,0.0,0.36,0.0,0.08,0.11
1F447,👇,backhand index pointing down,0.11,0.14,0.0,0.06,0.0,0.0,0.0,0.11
1F448,👈,backhand index pointing left,0.14,0.17,0.0,0.0,0.0,0.0,0.06,0.08
1F449,👉,backhand index pointing right,0.06,0.25,0.0,0.0,0.0,0.0,0.03,0.17
1F44A,👊,oncoming fist,0.44,0.36,0.14,0.11,0.22,0.0,0.0,0.61
1F44B,👋,waving hand,0.08,0.28,0.06,0.0,0.22,0.0,0.08,0.22
1F44C,👌,OK hand,0.0,0.36,0.0,0.0,0.22,0.0,0.22,0.56
1F44D,👍,thumbs up,0.11,0.39,0.06,0.08,0.39,0.06,0.14,0.47
