emoji,anger,fear,joy,sadness,native,unicode,bytes-UTF-8,description
1f3c4,0.12,0.195,0.088,0.222,🏄,1F3C4,\xF0\x9F\x8F\x84,surfer
1f512,0.146,0.141,0.196,0.212,🔒,1F512,\xF0\x9F\x94\x92,lock
1f528,0.333,0.427,0.221,0.186,🔨,1F528,\xF0\x9F\x94\xA8,hammer
1f615,0.331,0.343,0.105,0.34,😕,1F615,\xF0\x9F\x98\x95,confused face
23e9,0.327,0.322,0.17,0.265,⏩,23E9,\xE2\x8F\xA9,black right-pointing double triangle
1f3e2,0.181,0.359,0.22,0.19,🏢,1F3E2,\xF0\x9F\x8F\xA2,office building
1f4fb,0.187,0.222,0.316,0.361,📻,1F4FB,\xF0\x9F\x93\xBB,radio
1f3b8,0.144,0.125,0.257,0.304,🎸,1F3B8,\xF0\x9F\x8E\xB8,guitar
1f437,0.179,0.214,0.165,0.337,🐷,1F437,\xF0\x9F\x90\xB7,pig face
1f439,0.215,0.196,0.305,0.194,🐹,1F439,\xF0\x9F\x90\xB9,hamster face
1f46e,0.34,0.493,0.161,0.27,👮,1F46E,\xF0\x9F\x91\xAE,police officer
1f49a,0.126,0.159,0.373,0.19,💚,1F49A,\xF0\x9F\x92\x9A,green heart
1f524,0.134,0.126,0.166,0.121,🔤,1F524,\xF0\x9F\x94\xA4,input symbol for latin letters
1f629,0.236,0.274,0.186,0.234,😩,1F629,\xF0\x9F\x98\xA9,weary face
267b,0.261,0.271,0.334,0.152,♻,267B,\xE2\x99\xBB,black universal recycling symbol
1f315,0.176,0.284,0.312,0.208,🌕,1F315,\xF0\x9F\x8C\x95,full moon symbol
1f383,0.129,0.327,0.09,0.092,🎃,1F383,\xF0\x9F\x8E\x83,jack-o-lantern
1f390,0.214,0.176,0.271,0.166,🎐,1F390,\xF0\x9F\x8E\x90,wind chime
1f450,0.203,0.189,0.167,0.23,👐,1F450,\xF0\x9F\x91\x90,open hands sign
1f4aa,0.225,0.251,0.231,0.204,💪,1F4AA,\xF0\x9F\x92\xAA,flexed biceps
2b07,0.339,0.268,0.142,0.252,⬇,2B07,\xE2\xAC\x87,downwards black arrow
1f3c2,0.137,0.132,0.029,0.206,🏂,1F3C2,\xF0\x9F\x8F\x82,snowboarder
1f4a5,0.169,0.164,0.048,0.2,💥,1F4A5,\xF0\x9F\x92\xA5,collision symbol
1f50f,0.168,0.138,0.199,0.123,🔏,1F50F,\xF0\x9F\x94\x8F,lock with ink pen
1f62b,0.264,0.376,0.155,0.303,😫,1F62B,\xF0\x9F\x98\xAB,tired face
1f34e,0.251,0.182,0.195,0.121,🍎,1F34E,\xF0\x9F\x8D\x8E,red apple
1f52b,0.259,0.388,0.081,0.128,🔫,1F52B,\xF0\x9F\x94\xAB,pistol
3299,0.197,0.2,0.221,0.24,㊙,3299,\xE3\x8A\x99,circled ideograph secret
1f3e7,0.128,0.179,0.135,0.171,🏧,1F3E7,\xF0\x9F\x8F\xA7,automated teller machine
1f518,0.218,0.209,0.158,0.261,🔘,1F518,\xF0\x9F\x94\x98,radio button
1f4cb,0.157,0.233,0.331,0.211,📋,1F4CB,\xF0\x9F\x93\x8B,clipboard
1f623,0.327,0.516,0.175,0.416,😣,1F623,\xF0\x9F\x98\xA3,persevering face
2199,0.137,0.171,0.151,0.12,↙,2199,\xE2\x86\x99,south west arrow
1f361,0.279,0.193,0.139,0.054,🍡,1F361,\xF0\x9F\x8D\xA1,dango
1f369,0.152,0.259,0.136,0.15,🍩,1F369,\xF0\x9F\x8D\xA9,doughnut
1f525,0.306,0.225,0.103,0.179,🔥,1F525,\xF0\x9F\x94\xA5,fire
1f362,0.123,0.077,0.069,0.166,🍢,1F362,\xF0\x9F\x8D\xA2,oden
1f47f,0.385,0.257,0.03,0.211,👿,1F47F,\xF0\x9F\x91\xBF,imp
1f619,0.203,0.126,0.256,0.138,😙,1F619,\xF0\x9F\x98\x99,kissing face with smiling eyes
1f452,0.175,0.17,0.281,0.151,👒,1F452,\xF0\x9F\x91\x92,womans hat
1f51b,0.126,0.139,0.068,0.211,🔛,1F51B,\xF0\x9F\x94\x9B,on with exclamation mark with left right arrow above
1f35a,0.203,0.126,0.222,0.289,🍚,1F35A,\xF0\x9F\x8D\x9A,cooked rice
1f3b7,0.107,0.16,0.244,0.216,🎷,1F3B7,\xF0\x9F\x8E\xB7,saxophone
1f64c,0.122,0.101,0.254,0.236,🙌,1F64C,\xF0\x9F\x99\x8C,person raising both hands in celebration
2b06,0.382,0.293,0.219,0.284,⬆,2B06,\xE2\xAC\x86,upwards black arrow
1f375,0.156,0.237,0.429,0.07,🍵,1F375,\xF0\x9F\x8D\xB5,teacup without handle
1f4c3,0.201,0.294,0.282,0.27,📃,1F4C3,\xF0\x9F\x93\x83,page with curl
1f519,0.075,0.166,0.062,0.202,🔙,1F519,\xF0\x9F\x94\x99,back with leftwards arrow above
1f61c,0.126,0.059,0.139,0.129,😜,1F61C,\xF0\x9F\x98\x9C,face with stuck-out tongue and winking eye
2648,0.214,0.212,0.284,0.196,♈,2648,\xE2\x99\x88,aries
1f356,0.177,0.218,0.213,0.106,🍖,1F356,\xF0\x9F\x8D\x96,meat on bone
1f4cd,0.164,0.269,0.148,0.29,📍,1F4CD,\xF0\x9F\x93\x8D,round pushpin
1f4fa,0.322,0.247,0.227,0.222,📺,1F4FA,\xF0\x9F\x93\xBA,television
1f618,0.233,0.022,0.215,0.144,😘,1F618,\xF0\x9F\x98\x98,face throwing a kiss
2139,0.178,0.259,0.264,0.284,ℹ,2139,\xE2\x84\xB9,information source
1f3b4,0.181,0.211,0.067,0.134,🎴,1F3B4,\xF0\x9F\x8E\xB4,flower playing cards
1f497,0.151,0.067,0.348,0.13,💗,1F497,\xF0\x9F\x92\x97,growing heart
1f60d,0.307,0.18,0.308,0.137,😍,1F60D,\xF0\x9F\x98\x8D,smiling face with heart-shaped eyes
1f617,0.215,0.171,0.159,0.272,😗,1F617,\xF0\x9F\x98\x97,kissing face
1f31f,0.191,0.215,0.38,0.134,🌟,1F31F,\xF0\x9F\x8C\x9F,glowing star
1f3ca,0.175,0.159,0.086,0.245,🏊,1F3CA,\xF0\x9F\x8F\x8A,swimmer
1f479,0.37,0.419,0.109,0.257,👹,1F479,\xF0\x9F\x91\xB9,japanese ogre
