emoji,twitter-image,unicode,anger,fear,joy,sadness
🏄 person surfing,1f3c4,1f3c4,0.05,0.061,0.022,0.054
🔒 locked,1f512,1f512,0.101,0.098,0.065,0.1
🔨 hammer,1f528,1f528,0.126,0.142,0.062,0.099
😕 confused face,1f615,1f615,0.202,0.178,0.038,0.221
🏢 office building,1f3e2,1f3e2,0.077,0.13,0.058,0.099
📻 radio,1f4fb,1f4fb,0.089,0.094,0.096,0.132
🎸 guitar,1f3b8,1f3b8,0.081,0.078,0.081,0.101
🐷 pig face,1f437,1f437,0.108,0.106,0.043,0.103
🐹 hamster,1f439,1f439,0.096,0.101,0.068,0.103
👮 police officer,1f46e,1f46e,0.239,0.259,0.051,0.153
💚 green heart,1f49a,1f49a,0.055,0.052,0.082,0.05
🔤 input latin letters,1f524,1f524,0.072,0.078,0.052,0.066
😩 weary face,1f629,1f629,0.152,0.125,0.07,0.15
♻ recycling symbol,267b,267b,0.122,0.128,0.074,0.1
🌕 full moon,1f315,1f315,0.117,0.125,0.098,0.092
🎃 jack-o-lantern,1f383,1f383,0.07,0.108,0.026,0.042
🎐 wind chime,1f390,1f390,0.072,0.074,0.065,0.069
👐 open hands,1f450,1f450,0.097,0.087,0.044,0.101
💪 flexed biceps,1f4aa,1f4aa,0.089,0.088,0.057,0.077
⬇ down arrow,2b07,2b07,0.158,0.144,0.067,0.131
🏂 snowboarder,1f3c2,1f3c2,0.052,0.05,0.01,0.052
💥 collision,1f4a5,1f4a5,0.077,0.072,0.025,0.059
🔏 locked with pen,1f50f,1f50f,0.118,0.109,0.056,0.105
😫 tired face,1f62b,1f62b,0.169,0.153,0.048,0.166
🍎 red apple,1f34e,1f34e,0.085,0.078,0.056,0.049
🔫 pistol,1f52b,1f52b,0.125,0.142,0.034,0.11
㊙ Japanese “secret” button,3299,3299,0.087,0.097,0.049,0.094
🏧 ATM sign,1f3e7,1f3e7,0.051,0.075,0.034,0.07
🔘 radio button,1f518,1f518,0.098,0.094,0.042,0.073
📋 clipboard,1f4cb,1f4cb,0.085,0.102,0.074,0.081
😣 persevering face,1f623,1f623,0.197,0.2,0.053,0.216
↙ down-left arrow,2199,2199,0.107,0.108,0.054,0.086
🍡 dango,1f361,1f361,0.09,0.08,0.043,0.054
🍩 doughnut,1f369,1f369,0.109,0.112,0.044,0.101
