emoji,unicode,name,sentiment-score,anger,fear,joy,sadness
🏄,1f3c4,SURFER,0.524,0.204,0.292,0.122,0.309
🔒,1f512,LOCK,0.182,0.379,0.377,0.29,0.356
🔨,1f528,HAMMER,-0.105,0.502,0.615,0.367,0.372
😕,1f615,CONFUSED FACE,-0.397,0.88,0.653,0.238,0.88
⏩,23e9,BLACK RIGHT-POINTING DOUBLE TRIANGLE,0.111,0.443,0.467,0.257,0.374
🏢,1f3e2,OFFICE BUILDING,0.154,0.358,0.523,0.307,0.474
📻,1f4fb,RADIO,0.308,0.312,0.351,0.604,0.655
🎸,1f3b8,GUITAR,0.516,0.349,0.336,0.524,0.562
🐷,1f437,PIG FACE,0.368,0.439,0.443,0.233,0.51
🐹,1f439,HAMSTER FACE,0.294,0.362,0.376,0.394,0.416
👮,1f46e,POLICE OFFICER,-0.348,1.006,1.006,0.244,0.648
💚,1f49a,GREEN HEART,0.656,0.3,0.305,0.478,0.308
😩,1f629,WEARY FACE,-0.368,0.643,0.496,0.269,0.643
♻,267b,BLACK UNIVERSAL RECYCLING SYMBOL,0.474,0.439,0.465,0.47,0.398
🌕,1f315,FULL MOON SYMBOL,0.556,0.447,0.484,0.441,0.38
🎃,1f383,JACK-O-LANTERN,0.595,0.326,0.462,0.124,0.232
🎐,1f390,WIND CHIME,0.176,0.341,0.307,0.368,0.253
👐,1f450,OPEN HANDS SIGN,-0.023,0.4,0.354,0.268,0.402
💪,1f4aa,FLEXED BICEPS,0.555,0.346,0.349,0.325,0.333
⬇,2b07,DOWNWARDS BLACK ARROW,0.389,0.579,0.59,0.326,0.497
🏂,1f3c2,SNOWBOARDER,0.385,0.245,0.211,0.038,0.289
💥,1f4a5,COLLISION SYMBOL,0.148,0.326,0.348,0.129,0.297
😫,1f62b,TIRED FACE,-0.145,0.605,0.587,0.24,0.607
🍎,1f34e,RED APPLE,0.32,0.355,0.292,0.276,0.272
🔫,1f52b,PISTOL,-0.194,0.434,0.582,0.128,0.424
🏧,1f3e7,AUTOMATED TELLER MACHINE,0.8,0.23,0.333,0.171,0.335
😣,1f623,PERSEVERING FACE,-0.212,0.741,0.808,0.278,0.756
🍡,1f361,DANGO,-0.048,0.403,0.303,0.225,0.254
🍩,1f369,DOUGHNUT,0.382,0.42,0.384,0.249,0.409
🔥,1f525,FIRE,0.139,0.482,0.449,0.302,0.404
🍢,1f362,ODEN,-0.111,0.295,0.229,0.138,0.294
👿,1f47f,IMP,-0.534,0.774,0.674,0.073,0.714
😙,1f619,KISSING FACE WITH SMILING EYES,0.778,0.397,0.262,0.338,0.33
👒,1f452,WOMANS HAT,0.2,0.293,0.239,0.401,0.28
🔛,1f51b,ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE,0.4,0.303,0.303,0.091,0.308
🍚,1f35a,COOKED RICE,0.452,0.286,0.207,0.305,0.374
🎷,1f3b7,SAXOPHONE,0.647,0.37,0.345,0.518,0.467
🙌,1f64c,PERSON RAISING BOTH HANDS IN CELEBRATION,0.559,0.367,0.367,0.369,0.343
⬆,2b06,UPWARDS BLACK ARROW,0.286,0.707,0.692,0.386,0.641
🍵,1f375,TEACUP WITHOUT HANDLE,0.364,0.236,0.38,0.562,0.263
📃,1f4c3,PAGE WITH CURL,0.4,0.36,0.442,0.39,0.406
